Panelist,Rank_117.17,Rank_120.14,Rank_120.17,Rank_Copeland
1,2,3,4,1
3,4,2,1,3
4,2,4,1,3
5,4,1,2,3
6,4,1,3,2
7,4,2,3,1
8,2,3,4,1
9,4,3,2,1
10,3,2,4,1
11,1,3,2,4
12,2,4,1,3
13,1,4,3,2
14,2,1,4,3
15,1,2,4,3
16,3,2,1,4
17,1,2,3,4
18,2,4,1,3
19,2,3,1,4
20,4,2,1,3
21,4,1,3,2
22,4,3,2,1
23,4,3,1,2
24,2,4,1,3
25,4,3,2,1
26,4,1,2,3
27,3,2,1,4
28,4,2,3,1
29,1,2,4,3
30,1,2,3,4
31,3,1,2,4
32,1,4,2,3
33,4,2,3,1
34,1,2,4,3
35,2,4,3,1
36,4,1,3,2
37,2,3,1,4
38,3,2,4,1
39,1,3,4,2
40,3,1,2,4
41,2,3,4,1
42,3,2,4,1
43,2,3,1,4
44,4,2,3,1
45,3,1,2,4
46,4,1,2,3
47,1,2,4,3
48,4,3,1,2
49,3,1,2,4
50,3,1,2,4
51,2,1,4,3
52,4,1,3,2
53,3,1,4,2
54,4,1,3,2
55,1,3,2,4
56,4,1,2,3
57,1,4,3,2
58,3,4,2,1
59,2,3,4,1
60,3,4,2,1
61,3,4,1,2
62,2,3,4,1
63,2,1,3,4
65,1,3,2,4
66,2,1,4,3
67,2,4,1,3
70,2,1,3,4
71,4,3,2,1
72,2,4,1,3
73,2,4,3,1
74,2,3,1,4
75,3,4,2,1
76,2,4,3,1
77,2,4,1,3
82,4,3,2,1
83,3,2,4,1
84,3,4,1,2
87,4,1,3,2
89,4,3,2,1
90,4,1,3,2
93,2,3,1,4
94,4,2,1,3
95,4,3,2,1
96,3,4,2,1
97,4,3,2,1
98,1,4,2,3
99,3,1,2,4
100,4,3,2,1
101,2,1,3,4
102,4,3,1,2
103,1,2,3,4
104,4,3,1,2
105,4,1,3,2
106,4,2,3,1
107,3,2,4,1
108,2,3,1,4
109,4,1,3,2
110,4,2,1,3
111,4,2,1,3
112,1,3,2,4
113,2,1,3,4
114,2,4,1,3
115,4,3,1,2
116,4,3,1,2
117,4,2,1,3
118,4,1,3,2
119,4,3,1,2
120,1,2,4,3
121,4,2,3,1
122,1,2,3,4
123,4,2,1,3
124,1,4,3,2
125,2,1,3,4
126,1,3,2,4
127,4,3,1,2
128,2,4,1,3
129,4,3,1,2
130,4,1,3,2
131,4,2,1,3
132,3,1,4,2
133,2,3,1,4
134,3,1,2,4
135,2,1,3,4
136,3,4,1,2
137,1,4,2,3
138,2,1,4,3
139,1,2,4,3
140,3,4,2,1
141,3,4,2,1
142,3,2,4,1
143,4,1,2,3
144,4,1,2,3
145,2,1,4,3
146,1,4,2,3
147,4,1,2,3
148,1,2,4,3
158,4,3,1,2
159,2,3,4,1
160,4,2,1,3