Genotype,Aroma_all_attribute,n
Copeland,fruity,34
120.17,fruity,32
120.14,bitter,30
120.14,fruity,27
Copeland,bitter,27
117.17,fruity,25
Copeland,body_density_light,25
120.14,body_particulate_smooth,21
120.14,sweet,21
120.17,body_density_light,21
117.17,body_density_light,20
120.14,body_density_light,19
Copeland,grassy,19
120.14,earthy,18
120.17,sweet,18
117.17,bitter,17
117.17,earthy,17
117.17,grassy,17
120.17,earthy,17
Copeland,body_particulate_smooth,17
Copeland,floral,17
120.17,cereal,16
117.17,cereal,15
117.17,woody,15
120.17,grassy,15
Copeland,earthy,15
Copeland,fruity_citrus,15
117.17,floral,14
120.14,cereal,14
120.14,floral,14
120.17,bitter,14
120.17,floral,14
120.17,woody,14
Copeland,body_viscosity_thin,14
Copeland,cereal,14
120.14,nutty,13
120.17,body_particulate_smooth,13
120.14,grassy,12
120.14,woody,12
Copeland,sour,12
Copeland,woody,12
117.17,stale,11
117.17,sweet,11
120.17,stale,11
117.17,sour,10
120.14,fruity_citrus,10
120.17,effervescence_bubbledensity_dispersed,10
Copeland,stale,10
Copeland,sweetaromatic,10
117.17,afterfeel_astringency_drying,9
117.17,effervescence_bubbledensity_dispersed,9
117.17,nutty,9
120.17,body_viscosity_thin,9
120.17,fruity_citrus,9
Copeland,afterfeel_astringency_drying,9
117.17,herbacious,8
120.14,cereal_malt,8
120.14,stale,8
120.14,sweetaromatic,8
Copeland,effervescence_bubbledensity_dispersed,8
Copeland,nutty,8
Copeland,sweet,8
117.17,body_particulate_smooth,7
117.17,cereal_malt,7
117.17,dairy,7
117.17,effervescence_bubbledensity_compact,7
117.17,fruity_citrus,7
117.17,spicy,7
120.14,afterfeel_astringency_drying,7
120.14,body_viscosity_thin,7
120.14,effervescence_bubbledensity_dispersed,7
120.14,vegetal,7
120.17,nutty,7
120.17,sour,7
Copeland,metallic,7
117.17,afterfeel_slippery_high,6
117.17,metallic,6
117.17,vegetal,6
117.17,waxy,6
120.14,afterfeel_slippery_high,6
120.14,effervescence_bubblesize_small,6
120.14,fruity_pear,6
120.14,irritation_alcohol_warm,6
120.14,irritation_carbonation_tingle,6
120.17,body_density_heavy,6
120.17,effervescence_bubblesize_small,6
120.17,irritation_cooling,6
Copeland,body_density_heavy,6
Copeland,cereal_malt,6
Copeland,effervescence_bubbledensity_compact,6
Copeland,herbacious,6
Copeland,waxy,6
117.17,body_viscosity_thin,5
117.17,effervescence_bubblesize_small,5
120.14,body_density_heavy,5
120.14,effervescence_bubbledensity_compact,5
120.14,herbacious,5
120.17,afterfeel_slippery_high,5
120.17,cereal_malt,5
120.17,effervescence_bubbledensity_compact,5
120.17,sweetaromatic,5
120.17,vegetal,5
Copeland,spicy,5
117.17,afterfeel_astringency_low,4
117.17,body_density_heavy,4
117.17,burnt,4
117.17,dairy_butter,4
117.17,fruity_apple,4
117.17,irritation_carbonation_tingle,4
117.17,salty,4
117.17,sweetaromatic,4
120.14,metallic,4
120.14,salty,4
120.14,waxy,4
120.17,burnt,4
120.17,fruity_pear,4
120.17,irritation_carbonation_tingle,4
120.17,salty,4
Copeland,effervescence_bubblesize_small,4
Copeland,ripe,4
117.17,alcoholic,3
117.17,effervescence_bubblesize_large,3
117.17,ripe,3
117.17,waxy_fat,3
120.14,alcoholic,3
120.14,body_viscosity_thick,3
120.14,burnt,3
120.14,dairy,3
120.14,fruity_apple,3
120.14,ripe,3
120.14,solvent,3
120.14,sweetaromatic_honey,3
120.14,vegetal_corn,3
120.17,afterfeel_astringency_drying,3
120.17,fruity_apple,3
120.17,fruity_citrus_lemon,3
120.17,fruity_tropical,3
120.17,grassy_freshcutgrass,3
120.17,irritation_alcohol_burning,3
120.17,irritation_alcohol_warm,3
120.17,metallic,3
120.17,spicy,3
120.17,vegetal_cucumber,3
120.17,waxy,3
Copeland,afterfeel_slippery_high,3
Copeland,alcoholic,3
Copeland,body_viscosity_thick,3
Copeland,fruity_apple,3
Copeland,fruity_citrus_grapefruit,3
Copeland,fruity_tropical,3
Copeland,medicinal,3
Copeland,vegetal,3
117.17,body_viscosity_thick,2
117.17,cereal_bread,2
117.17,earthy_musty,2
117.17,fruity_apple_greenapple,2
117.17,fruity_pear,2
117.17,irritation_cooling,2
117.17,nutty_almond,2
117.17,sweetaromatic_caramel,2
120.14,burnt_smoke,2
120.14,dairy_butter,2
120.14,effervescence_bubblesize_large,2
120.14,irritation_cooling,2
120.14,medicinal,2
120.14,sour,2
120.14,spicy,2
120.14,sweetaromatic_sugarcane,2
120.14,waxy_fat,2
120.17,alcoholic,2
120.17,burnt_coffee,2
120.17,cereal_grain,2
120.17,earthy_soil,2
120.17,effervescence_bubblesize_large,2
120.17,floral_jasmine,2
120.17,medicinal,2
120.17,ripe,2
120.17,stale_cardboard,2
120.17,vegetal_corn,2
120.17,woody_pine,2
Copeland,burnt,2
Copeland,effervescence_bubblesize_large,2
Copeland,fruity_apple_sourapple,2
Copeland,fruity_citrus_lemon,2
Copeland,fruity_pear,2
Copeland,grassy_hay,2
Copeland,medicinal_bandaid,2
Copeland,nutty_walnut,2
Copeland,stale_cardboard,2
Copeland,waxy_soap,2
117.17,afterfeel_slippery_low,1
117.17,cereal_bready,1
117.17,cereal_grain,1
117.17,cereal_greenmalt,1
117.17,cereal_toast,1
117.17,dairy_milk,1
117.17,earthy_mold,1
117.17,earthy_mushroom,1
117.17,earthy_soil,1
117.17,floral_hawthorn,1
117.17,fruity_apple_cider,1
117.17,fruity_citrus_grapefruit,1
117.17,fruity_differentfruits,1
117.17,fruity_melon,1
117.17,fruity_stonefruit,1
117.17,fruity_stonefruit_apricot,1
117.17,fruity_tropical,1
117.17,grassy_greenleaves,1
117.17,grassy_hay,1
117.17,herbacious_rosemary,1
117.17,herbacious_tea,1
117.17,herbacious_thyme,1
117.17,irritation_alcohol_warm,1
117.17,irritation_spicy,1
117.17,irritation_spicy_burning,1
117.17,meaty,1
117.17,ripe_sweat,1
117.17,solvent,1
117.17,spicy_blackpepper,1
117.17,stale_cardboard,1
117.17,stale_paper,1
117.17,vegetal_celery,1
117.17,vegetal_corn,1
117.17,waxy_oil,1
117.17,waxy_tallow,1
117.17,woody_oak,1
117.17,woody_pine,1
120.14,afterfeel_astringency_low,1
120.14,afterfeel_slippery_low,1
120.14,burnt_coffee,1
120.14,cereal_bread,1
120.14,cereal_greenmalt,1
120.14,earthy_truffle,1
120.14,floral_perfume,1
120.14,fruity_apple_sourapple,1
120.14,fruity_citrus_grapefruit,1
120.14,fruity_citrus_lime,1
120.14,fruity_citrus_lime_peel,1
120.14,fruity_coconut,1
120.14,fruity_melon,1
120.14,fruity_stonefruit,1
120.14,fruity_tropical,1
120.14,fruity_tropical_mango,1
120.14,grassy_greenleaves,1
120.14,herbacious_oregano,1
120.14,meaty,1
120.14,medicinal_burntrubber,1
120.14,nutty_walnut,1
120.14,ripe_sweat,1
120.14,solvent_petroleum,1
120.14,sweetaromatic_bubblegum,1
120.14,sweetaromatic_candy,1
120.14,sweetaromatic_caramel,1
120.14,vegetal_corn_cooked,1
120.14,vegetal_peas,1
120.14,woody_pine,1
120.17,afterfeel_astringency_low,1
120.17,afterfeel_slippery_low,1
120.17,alcoholic_rum,1
120.17,body_viscosity_thick,1
120.17,cereal_bread,1
120.17,cereal_toast,1
120.17,dairy,1
120.17,dairy_cream,1
120.17,floral_rose,1
120.17,fruity_apple_cider,1
120.17,fruity_apple_sourapple,1
120.17,fruity_coconut,1
120.17,fruity_stonefruit,1
120.17,fruity_stonefruit_peach,1
120.17,fruity_tropical_pineapple,1
120.17,grassy_hay,1
120.17,medicinal_bandaid,1
120.17,medicinal_rubber,1
120.17,nutty_almond,1
120.17,nutty_marzipan,1
120.17,smooth,1
120.17,solvent,1
120.17,solvent_chemical,1
120.17,spicy_blackpepper,1
120.17,stale_paper,1
120.17,vegetal_celery,1
120.17,waxy_fat,1
120.17,woody_eucalyptus,1
Copeland,afterfeel_astringency_low,1
Copeland,afterfeel_slippery_low,1
Copeland,alcoholic_rum,1
Copeland,body_particulate_gritty,1
Copeland,burnt_coffee,1
Copeland,cereal_biscuit,1
Copeland,cereal_grahamcracker,1
Copeland,cereal_grain,1
Copeland,cereal_roastedcereal,1
Copeland,dairy,1
Copeland,dairy_butter,1
Copeland,earthy_mushroom,1
Copeland,earthy_musty,1
Copeland,floral_citronella,1
Copeland,floral_violet,1
Copeland,fruity_berry,1
Copeland,fruity_citrus_lemon_peel,1
Copeland,fruity_citrus_orange,1
Copeland,fruity_citrus_orange_peel,1
Copeland,fruity_melon,1
Copeland,fruity_stonefruit,1
Copeland,fruity_tropical_banana,1
Copeland,fruity_tropical_pineapple,1
Copeland,herbacious_rosemary,1
Copeland,irritation_alcohol_warm,1
Copeland,irritation_carbonation_tingle,1
Copeland,irritation_cooling,1
Copeland,irritation_spicy,1
Copeland,meaty,1
Copeland,ripe_sweat,1
Copeland,salty,1
Copeland,spicy_clove,1
Copeland,spicy_coriander,1
Copeland,sweetaromatic_bubblegum,1
Copeland,sweetaromatic_caramel,1
Copeland,sweetaromatic_honey,1
Copeland,sweetaromatic_toffee,1
Copeland,vegetal_carrots,1
Copeland,waxy_oil,1
Copeland,woody_pine,1